Network_Reward,Group_A_Reward,Group_B_Reward,tls_1,tls_2,tls_3,tls_4,tls_5,tls_6,tls_7,tls_8
-5036.0,-2547.5,-2488.5,-636.875,-636.875,-636.875,-636.875,-622.125,-622.125,-622.125,-622.125
-5098.0,-2357.5,-2740.5,-589.375,-589.375,-589.375,-589.375,-685.125,-685.125,-685.125,-685.125
-5042.5,-2473.0,-2569.5,-618.25,-618.25,-618.25,-618.25,-642.375,-642.375,-642.375,-642.375
-4564.0,-2290.5,-2273.5,-572.625,-572.625,-572.625,-572.625,-568.375,-568.375,-568.375,-568.375
-4736.0,-2403.0,-2333.0,-600.75,-600.75,-600.75,-600.75,-583.25,-583.25,-583.25,-583.25
-4722.0,-2423.5,-2298.5,-605.875,-605.875,-605.875,-605.875,-574.625,-574.625,-574.625,-574.625
-4719.0,-2420.5,-2298.5,-605.125,-605.125,-605.125,-605.125,-574.625,-574.625,-574.625,-574.625
-4817.5,-2535.0,-2282.5,-633.75,-633.75,-633.75,-633.75,-570.625,-570.625,-570.625,-570.625
-4612.0,-2265.0,-2347.0,-566.25,-566.25,-566.25,-566.25,-586.75,-586.75,-586.75,-586.75
-4795.0,-2390.0,-2405.0,-597.5,-597.5,-597.5,-597.5,-601.25,-601.25,-601.25,-601.25
-4419.0,-2129.0,-2290.0,-532.25,-532.25,-532.25,-532.25,-572.5,-572.5,-572.5,-572.5
-4521.5,-2090.0,-2431.5,-522.5,-522.5,-522.5,-522.5,-607.875,-607.875,-607.875,-607.875
-4285.5,-2046.5,-2239.0,-511.625,-511.625,-511.625,-511.625,-559.75,-559.75,-559.75,-559.75
-4314.0,-2188.0,-2126.0,-547.0,-547.0,-547.0,-547.0,-531.5,-531.5,-531.5,-531.5
-4329.0,-2021.5,-2307.5,-505.375,-505.375,-505.375,-505.375,-576.875,-576.875,-576.875,-576.875
-4301.0,-2213.5,-2087.5,-553.375,-553.375,-553.375,-553.375,-521.875,-521.875,-521.875,-521.875
-4459.5,-2146.0,-2313.5,-536.5,-536.5,-536.5,-536.5,-578.375,-578.375,-578.375,-578.375
-4262.5,-2200.5,-2062.0,-550.125,-550.125,-550.125,-550.125,-515.5,-515.5,-515.5,-515.5
-4245.5,-1959.0,-2286.5,-489.75,-489.75,-489.75,-489.75,-571.625,-571.625,-571.625,-571.625
-4227.5,-2097.5,-2130.0,-524.375,-524.375,-524.375,-524.375,-532.5,-532.5,-532.5,-532.5
-4217.0,-2194.5,-2022.5,-548.625,-548.625,-548.625,-548.625,-505.625,-505.625,-505.625,-505.625
-4301.5,-2258.0,-2043.5,-564.5,-564.5,-564.5,-564.5,-510.875,-510.875,-510.875,-510.875
-3983.5,-2066.5,-1917.0,-516.625,-516.625,-516.625,-516.625,-479.25,-479.25,-479.25,-479.25
-4210.0,-2196.5,-2013.5,-549.125,-549.125,-549.125,-549.125,-503.375,-503.375,-503.375,-503.375
-4181.0,-2117.5,-2063.5,-529.375,-529.375,-529.375,-529.375,-515.875,-515.875,-515.875,-515.875
-4099.0,-2063.0,-2036.0,-515.75,-515.75,-515.75,-515.75,-509.0,-509.0,-509.0,-509.0
-4129.0,-2145.5,-1983.5,-536.375,-536.375,-536.375,-536.375,-495.875,-495.875,-495.875,-495.875
-4240.5,-2195.0,-2045.5,-548.75,-548.75,-548.75,-548.75,-511.375,-511.375,-511.375,-511.375
-4113.5,-2131.0,-1982.5,-532.75,-532.75,-532.75,-532.75,-495.625,-495.625,-495.625,-495.625
-4205.5,-2160.0,-2045.5,-540.0,-540.0,-540.0,-540.0,-511.375,-511.375,-511.375,-511.375
-4129.5,-2089.0,-2040.5,-522.25,-522.25,-522.25,-522.25,-510.125,-510.125,-510.125,-510.125
-4055.5,-2100.0,-1955.5,-525.0,-525.0,-525.0,-525.0,-488.875,-488.875,-488.875,-488.875
-4052.0,-2022.5,-2029.5,-505.625,-505.625,-505.625,-505.625,-507.375,-507.375,-507.375,-507.375
-4256.0,-2070.0,-2186.0,-517.5,-517.5,-517.5,-517.5,-546.5,-546.5,-546.5,-546.5
-4325.5,-2181.5,-2144.0,-545.375,-545.375,-545.375,-545.375,-536.0,-536.0,-536.0,-536.0
-4066.0,-2088.0,-1978.0,-522.0,-522.0,-522.0,-522.0,-494.5,-494.5,-494.5,-494.5
-4287.5,-2199.0,-2088.5,-549.75,-549.75,-549.75,-549.75,-522.125,-522.125,-522.125,-522.125
-3991.5,-2174.5,-1817.0,-543.625,-543.625,-543.625,-543.625,-454.25,-454.25,-454.25,-454.25
-4012.5,-1970.0,-2042.5,-492.5,-492.5,-492.5,-492.5,-510.625,-510.625,-510.625,-510.625
-4114.5,-2127.5,-1987.0,-531.875,-531.875,-531.875,-531.875,-496.75,-496.75,-496.75,-496.75
-4324.0,-2177.5,-2146.5,-544.375,-544.375,-544.375,-544.375,-536.625,-536.625,-536.625,-536.625
-4201.5,-2115.5,-2086.0,-528.875,-528.875,-528.875,-528.875,-521.5,-521.5,-521.5,-521.5
-4020.0,-2130.0,-1890.0,-532.5,-532.5,-532.5,-532.5,-472.5,-472.5,-472.5,-472.5
-4135.5,-2122.0,-2013.5,-530.5,-530.5,-530.5,-530.5,-503.375,-503.375,-503.375,-503.375
-4060.0,-2093.0,-1967.0,-523.25,-523.25,-523.25,-523.25,-491.75,-491.75,-491.75,-491.75
-4021.5,-2048.0,-1973.5,-512.0,-512.0,-512.0,-512.0,-493.375,-493.375,-493.375,-493.375
-3996.5,-2117.5,-1879.0,-529.375,-529.375,-529.375,-529.375,-469.75,-469.75,-469.75,-469.75
-4123.5,-2213.5,-1910.0,-553.375,-553.375,-553.375,-553.375,-477.5,-477.5,-477.5,-477.5
-3970.5,-2066.5,-1904.0,-516.625,-516.625,-516.625,-516.625,-476.0,-476.0,-476.0,-476.0
-3827.5,-1982.0,-1845.5,-495.5,-495.5,-495.5,-495.5,-461.375,-461.375,-461.375,-461.375
-3844.0,-2087.0,-1757.0,-521.75,-521.75,-521.75,-521.75,-439.25,-439.25,-439.25,-439.25
-3978.0,-2075.0,-1903.0,-518.75,-518.75,-518.75,-518.75,-475.75,-475.75,-475.75,-475.75
-3998.0,-2056.0,-1942.0,-514.0,-514.0,-514.0,-514.0,-485.5,-485.5,-485.5,-485.5
-4088.5,-2203.0,-1885.5,-550.75,-550.75,-550.75,-550.75,-471.375,-471.375,-471.375,-471.375
-4032.0,-2158.0,-1874.0,-539.5,-539.5,-539.5,-539.5,-468.5,-468.5,-468.5,-468.5
-4289.5,-2206.5,-2083.0,-551.625,-551.625,-551.625,-551.625,-520.75,-520.75,-520.75,-520.75
