Network_Reward,Group_A_Reward,Group_B_Reward,Sup_A_Loss,Sup_B_Loss,tls_1,tls_2,tls_3,tls_4,tls_5,tls_6,tls_7,tls_8
-10101.5,-5055.5,-5046.0,56.71923273902148,64.45256790007004,-1200.5,-919.0,-1445.5,-1490.5,-1626.5,-1209.0,-1143.0,-1067.5
-10133.5,-4955.5,-5178.0,53.68756548563639,71.8313183678521,-1532.0,-908.5,-1145.0,-1370.0,-1200.0,-1462.0,-1530.5,-985.5
-8378.5,-4236.5,-4142.0,50.79959179030524,77.37235749032763,-902.5,-951.5,-1006.5,-1376.0,-1038.5,-1045.0,-738.5,-1320.0
-9200.5,-3984.5,-5216.0,45.878063148922394,72.06394647492303,-1194.5,-715.0,-1106.5,-968.5,-1666.5,-1195.0,-1086.0,-1268.5
-8332.0,-3852.0,-4480.0,43.04429705407885,71.14703578419156,-1115.5,-862.5,-956.0,-918.0,-1127.0,-1271.5,-997.5,-1084.0
-8304.0,-4326.0,-3978.0,42.16358333163791,66.5172901444965,-1512.5,-1127.5,-953.5,-732.5,-1257.5,-1182.5,-780.0,-758.0
-9485.0,-4793.5,-4691.5,45.863951195610895,60.26936411327786,-1414.0,-853.5,-926.5,-1599.5,-1307.5,-1671.5,-920.0,-792.5
-8440.5,-4268.0,-4172.5,44.356414794921875,60.5840122991138,-1040.5,-823.5,-1191.0,-1213.0,-919.5,-1158.5,-1100.0,-994.5
-8535.5,-4598.5,-3937.0,46.989206091562906,57.11066319147746,-1271.5,-996.5,-1425.5,-905.0,-1045.0,-932.5,-970.5,-989.0
-10272.5,-5002.5,-5270.0,48.913874340057376,60.437668432129755,-1134.5,-1134.5,-1292.0,-1441.5,-1123.0,-1561.5,-1165.5,-1420.0
-8826.0,-4375.0,-4451.0,53.2080017513699,66.16678779390124,-1614.0,-895.0,-915.0,-951.0,-1225.0,-802.5,-1211.0,-1212.5
