episode,network_reward,avg_intersection_reward,avg_wait_time,tls_1,tls_2,tls_3,tls_4,tls_5,tls_6,tls_7,tls_8
1,-1594.5,-199.3125,0.047619047619047616,-264.0,-140.5,-183.5,-186.0,-229.5,-256.5,-129.0,-205.5
2,-1588.5,-198.5625,0.009523809523809525,-281.5,-138.0,-213.0,-221.0,-211.0,-210.0,-144.0,-170.0
3,-1447.5,-180.9375,0.029411764705882353,-261.5,-192.5,-203.5,-195.5,-180.0,-157.0,-116.0,-141.5
4,-1477.5,-184.6875,0.015625,-236.0,-147.0,-195.0,-199.0,-184.5,-209.0,-143.5,-163.5
5,-1608.5,-201.0625,0.0,-254.5,-152.5,-212.0,-194.0,-227.0,-230.0,-160.5,-178.0
6,-1468.5,-183.5625,0.05084745762711865,-274.5,-136.0,-239.0,-163.0,-161.5,-176.0,-140.0,-178.5
7,-1444.0,-180.5,0.0,-212.5,-137.5,-240.0,-186.5,-202.5,-201.5,-119.0,-144.5
8,-1716.0,-214.5,0.03636363636363636,-370.5,-136.5,-196.5,-219.0,-228.0,-226.5,-133.0,-206.0
9,-1690.5,-211.3125,0.03418803418803419,-325.5,-165.0,-229.5,-232.5,-223.0,-201.0,-111.0,-203.0
10,-1523.0,-190.375,0.025423728813559324,-221.5,-119.5,-225.0,-197.5,-217.5,-207.5,-135.0,-199.5
11,-1565.0,-195.625,0.04,-289.0,-142.0,-175.5,-194.5,-218.0,-197.5,-151.5,-197.0
12,-1540.0,-192.5,0.01694915254237288,-220.5,-140.0,-197.5,-203.5,-266.0,-206.5,-133.5,-172.5
13,-1708.5,-213.5625,0.029411764705882353,-269.0,-125.0,-256.0,-250.5,-231.0,-188.0,-168.5,-220.5
14,-1553.0,-194.125,0.010101010101010102,-268.5,-146.5,-188.0,-196.0,-215.0,-231.5,-136.5,-171.0
15,-1369.5,-171.1875,0.018018018018018018,-231.0,-109.5,-175.5,-156.5,-205.5,-190.5,-129.0,-172.0
16,-1538.5,-192.3125,0.02586206896551724,-232.0,-160.5,-204.0,-241.5,-194.5,-188.5,-133.0,-184.5
17,-1407.0,-175.875,0.014285714285714285,-257.0,-113.0,-198.5,-183.5,-182.5,-167.0,-144.0,-161.5
18,-1439.0,-179.875,0.015625,-240.0,-140.5,-225.0,-188.5,-181.5,-181.0,-108.0,-174.5
19,-1514.5,-189.3125,0.0,-242.0,-145.0,-192.5,-198.0,-221.5,-208.0,-141.5,-166.0
20,-1489.0,-186.125,0.0,-281.0,-128.5,-206.0,-219.0,-205.0,-171.0,-124.5,-154.0
