episode,network_reward,avg_intersection_reward,avg_wait_time,tls_1,tls_2,tls_3,tls_4,tls_5,tls_6,tls_7,tls_8
1,-1532.0,-191.5,0.0,-231.5,-160.5,-193.0,-199.5,-217.5,-190.5,-167.0,-172.5
2,-1456.5,-182.0625,0.008547008547008548,-278.0,-147.0,-197.0,-197.5,-201.0,-188.0,-120.5,-127.5
3,-1379.5,-172.4375,0.019801980198019802,-208.5,-151.0,-158.0,-170.0,-233.0,-204.0,-131.5,-123.5
4,-1529.0,-191.125,0.0,-287.5,-115.5,-191.5,-227.0,-173.0,-201.0,-130.0,-203.5
5,-1653.0,-206.625,0.00819672131147541,-316.0,-151.5,-199.0,-203.5,-248.5,-228.5,-143.0,-163.0
6,-1423.0,-177.875,0.018867924528301886,-243.0,-143.0,-168.5,-193.5,-181.0,-207.0,-121.0,-166.0
7,-1673.5,-209.1875,0.034482758620689655,-260.0,-139.5,-224.5,-228.0,-228.0,-229.0,-172.0,-192.5
8,-1443.0,-180.375,0.04716981132075472,-234.0,-123.0,-172.5,-184.0,-222.0,-219.0,-133.5,-155.0
9,-1451.0,-181.375,0.016666666666666666,-252.0,-148.0,-194.0,-187.0,-162.0,-188.5,-125.5,-194.0
10,-1469.0,-183.625,0.017699115044247787,-204.0,-116.0,-222.5,-214.5,-183.0,-162.0,-164.5,-202.5
11,-1658.5,-207.3125,0.0,-273.5,-151.0,-206.0,-197.5,-248.5,-260.5,-146.5,-175.0
12,-1557.0,-194.625,0.0,-246.0,-165.5,-196.5,-235.0,-208.0,-200.0,-121.5,-184.5
13,-1676.0,-209.5,0.04807692307692308,-315.5,-194.0,-209.0,-189.5,-246.5,-210.5,-137.5,-173.5
14,-1537.0,-192.125,0.0,-287.0,-164.0,-181.5,-169.0,-234.0,-216.0,-129.5,-156.0
15,-1474.5,-184.3125,0.04310344827586207,-262.5,-119.5,-225.5,-210.0,-174.5,-177.0,-130.5,-175.0
16,-1509.5,-188.6875,0.05084745762711865,-301.0,-165.5,-164.0,-191.5,-210.0,-195.0,-139.0,-143.5
17,-1464.0,-183.0,0.03361344537815126,-253.0,-147.0,-172.0,-170.5,-279.5,-173.0,-124.5,-144.5
18,-1492.5,-186.5625,0.03260869565217391,-245.5,-174.0,-172.0,-187.0,-246.5,-174.0,-132.5,-161.0
19,-1486.5,-185.8125,0.027777777777777776,-258.5,-118.0,-201.5,-197.0,-200.5,-214.5,-110.5,-186.0
20,-1587.0,-198.375,0.0,-348.5,-156.5,-193.5,-158.5,-224.0,-198.0,-132.5,-175.5
