episode,network_reward,avg_intersection_reward,avg_wait_time,tls_1,tls_2,tls_3,tls_4,tls_5,tls_6,tls_7,tls_8
1,-1392.0,-174.0,0.0,-245.5,-125.5,-193.0,-202.0,-172.5,-155.0,-137.0,-161.5
2,-1463.5,-182.9375,0.020202020202020204,-239.5,-153.0,-215.0,-208.0,-161.5,-170.5,-149.5,-166.5
3,-1625.0,-203.125,0.009009009009009009,-279.0,-158.0,-207.0,-209.0,-226.5,-170.5,-160.0,-215.0
4,-1510.0,-188.75,0.008130081300813009,-258.0,-150.0,-225.0,-197.0,-201.0,-224.0,-114.0,-141.0
5,-1553.0,-194.125,0.031496062992125984,-253.0,-144.5,-202.0,-186.0,-213.0,-218.5,-145.5,-190.5
6,-1516.5,-189.5625,0.008849557522123894,-305.0,-129.0,-184.0,-217.0,-187.5,-197.0,-125.5,-171.5
7,-1523.0,-190.375,0.0,-245.5,-169.0,-159.5,-172.0,-227.0,-244.5,-140.5,-165.0
8,-1599.0,-199.875,0.017857142857142856,-247.5,-129.5,-180.5,-254.5,-208.0,-211.5,-155.5,-212.0
9,-1403.0,-175.375,0.0,-225.5,-128.0,-180.0,-183.5,-227.5,-187.0,-127.5,-144.0
10,-1316.0,-164.5,0.05154639175257732,-178.0,-132.0,-197.5,-162.5,-185.0,-185.0,-118.0,-158.0
11,-1621.5,-202.6875,0.0,-305.5,-159.0,-190.5,-215.5,-220.5,-204.0,-141.0,-185.5
12,-1368.0,-171.0,0.016666666666666666,-236.5,-133.5,-191.0,-152.0,-212.5,-184.0,-113.0,-145.5
13,-1580.0,-197.5,0.0,-243.0,-150.5,-234.0,-185.0,-190.0,-212.5,-139.0,-226.0
14,-1425.5,-178.1875,0.0,-261.0,-135.5,-181.0,-153.0,-224.5,-196.5,-123.5,-150.5
15,-1476.5,-184.5625,0.025210084033613446,-282.5,-125.0,-217.5,-214.5,-180.5,-193.0,-129.0,-134.5
16,-1421.5,-177.6875,0.05825242718446602,-254.0,-124.5,-193.0,-166.5,-208.0,-181.5,-130.0,-164.0
17,-1441.5,-180.1875,0.0,-284.0,-119.0,-183.5,-204.5,-200.0,-179.5,-100.0,-171.0
18,-1572.5,-196.5625,0.008547008547008548,-270.5,-164.0,-224.5,-194.0,-236.0,-195.5,-118.5,-169.5
19,-1466.0,-183.25,0.009433962264150943,-290.0,-140.0,-186.5,-200.5,-201.0,-182.5,-129.0,-136.5
20,-1486.0,-185.75,0.0,-265.5,-144.5,-203.0,-190.0,-186.5,-196.0,-133.0,-167.5
