episode,network_reward,avg_intersection_reward,avg_wait_time,tls_1,tls_2,tls_3,tls_4,tls_5,tls_6,tls_7,tls_8
1,-1526.5,-190.8125,0.025423728813559324,-289.0,-150.5,-212.5,-239.5,-161.0,-182.5,-143.0,-148.5
2,-1578.5,-197.3125,0.0,-250.5,-151.0,-190.5,-239.0,-187.0,-215.5,-141.5,-203.5
3,-1384.0,-173.0,0.008264462809917356,-234.5,-125.0,-184.5,-168.0,-169.0,-167.5,-151.5,-184.0
4,-1723.5,-215.4375,0.018867924528301886,-294.5,-133.0,-217.0,-223.0,-243.5,-228.5,-178.0,-206.0
5,-1611.5,-201.4375,0.009345794392523364,-275.0,-144.0,-234.5,-233.0,-188.0,-182.5,-165.5,-189.0
6,-1520.5,-190.0625,0.0,-301.5,-132.5,-192.0,-194.5,-191.0,-207.5,-130.0,-171.5
7,-1461.0,-182.625,0.03816793893129771,-245.5,-122.5,-218.5,-167.0,-216.5,-174.5,-155.0,-161.5
8,-1467.0,-183.375,0.0,-247.0,-119.0,-194.5,-212.0,-207.0,-212.5,-118.0,-157.0
9,-1422.0,-177.75,0.022388059701492536,-224.5,-112.0,-172.0,-159.5,-207.0,-216.5,-161.0,-169.5
10,-1488.5,-186.0625,0.0,-232.0,-148.0,-196.0,-224.5,-219.0,-219.5,-114.5,-135.0
11,-1556.5,-194.5625,0.017391304347826087,-275.0,-125.0,-186.5,-185.0,-256.5,-228.5,-139.0,-161.0
12,-1393.0,-174.125,0.0,-225.0,-126.5,-166.0,-201.5,-186.5,-209.5,-126.0,-152.0
13,-1497.5,-187.1875,0.010638297872340425,-277.0,-118.5,-207.0,-182.5,-189.5,-218.5,-127.5,-177.0
14,-1515.0,-189.375,0.036036036036036036,-246.0,-157.5,-209.0,-195.5,-216.0,-182.5,-137.5,-171.0
15,-1474.0,-184.25,0.0,-288.5,-156.0,-194.5,-170.5,-189.5,-204.0,-117.0,-154.0
16,-1433.5,-179.1875,0.009259259259259259,-202.0,-111.5,-217.0,-191.5,-209.0,-159.0,-136.0,-207.5
17,-1434.5,-179.3125,0.015873015873015872,-244.5,-119.5,-213.0,-169.5,-164.0,-197.5,-130.0,-196.5
18,-1474.5,-184.3125,0.0,-239.5,-156.5,-177.0,-221.5,-188.5,-202.5,-143.5,-145.5
19,-1469.0,-183.625,0.0,-281.5,-151.0,-178.0,-171.5,-196.5,-210.0,-115.5,-165.0
20,-1507.0,-188.375,0.03418803418803419,-291.5,-154.5,-201.0,-154.5,-219.5,-210.0,-130.5,-145.5
