episode,network_reward,avg_intersection_reward,avg_wait_time,tls_1,tls_2,tls_3,tls_4,tls_5,tls_6,tls_7,tls_8
1,-1705.5,-213.1875,0.05454545454545454,-268.0,-160.5,-229.5,-242.5,-243.5,-235.0,-178.5,-148.0
2,-1740.0,-217.5,0.014925373134328358,-288.0,-149.5,-219.5,-233.5,-250.0,-233.0,-186.0,-180.5
3,-1483.0,-185.375,0.025,-277.0,-132.0,-213.5,-186.0,-222.5,-181.5,-123.5,-147.0
4,-1644.0,-205.5,0.0,-303.5,-150.5,-253.0,-235.5,-195.5,-196.0,-125.5,-184.5
5,-1718.5,-214.8125,0.0,-267.5,-160.5,-220.0,-205.5,-252.0,-198.0,-179.0,-236.0
6,-1707.5,-213.4375,0.018867924528301886,-405.5,-140.0,-217.5,-202.5,-223.0,-202.5,-139.0,-177.5
7,-2320.5,-290.0625,0.01694915254237288,-765.5,-167.0,-251.0,-218.0,-265.5,-259.0,-147.5,-247.0
8,-1515.5,-189.4375,0.020833333333333332,-296.0,-141.5,-204.0,-203.5,-178.0,-183.5,-113.5,-195.5
9,-1625.5,-203.1875,0.042735042735042736,-254.5,-180.5,-194.5,-187.5,-251.0,-229.0,-161.5,-167.0
10,-1525.0,-190.625,0.0546875,-221.0,-139.5,-220.5,-204.0,-209.0,-218.0,-140.0,-173.0
11,-1269.5,-158.6875,0.009433962264150943,-194.5,-128.5,-166.5,-169.0,-168.0,-178.0,-100.5,-164.5
12,-1473.0,-184.125,0.008928571428571428,-306.0,-128.0,-162.0,-194.5,-193.5,-198.0,-141.0,-150.0
13,-1711.0,-213.875,0.02564102564102564,-305.0,-125.5,-181.0,-218.5,-402.0,-193.5,-126.5,-159.0
14,-1531.0,-191.375,0.022727272727272728,-206.0,-104.5,-222.5,-212.5,-187.5,-203.0,-184.0,-211.0
15,-1540.5,-192.5625,0.04716981132075472,-272.0,-115.5,-218.0,-198.5,-166.0,-209.5,-160.0,-201.0
16,-1485.0,-185.625,0.0,-250.0,-118.0,-168.5,-183.0,-230.5,-228.0,-127.5,-179.5
17,-1735.5,-216.9375,0.027777777777777776,-415.5,-163.0,-237.5,-199.5,-193.5,-191.5,-164.0,-171.0
18,-1399.0,-174.875,0.05263157894736842,-249.5,-142.0,-200.5,-147.0,-201.5,-163.0,-123.5,-172.0
19,-1646.5,-205.8125,0.04504504504504504,-302.5,-165.0,-186.0,-168.0,-230.0,-238.0,-190.0,-167.0
20,-1570.5,-196.3125,0.0,-271.0,-115.0,-189.0,-221.0,-211.0,-207.5,-161.5,-194.5
