Network_Reward,Group_A_Reward,Group_B_Reward,Sup_A_Loss,Sup_B_Loss,tls_1,tls_2,tls_3,tls_4,tls_5,tls_6,tls_7,tls_8
-3059.5,-1608.5,-1451.0,9.174071682824028,4.011836820178562,-615.5,-353.0,-341.5,-298.5,-335.0,-355.5,-396.0,-364.5
-2538.0,-1262.5,-1275.5,5.947026187181473,4.171156239509583,-332.5,-238.0,-348.5,-343.5,-380.5,-288.0,-263.0,-344.0
-2850.0,-1391.5,-1458.5,4.850403752591875,4.639589387178421,-446.0,-321.5,-308.0,-316.0,-432.0,-420.0,-301.0,-305.5
-2772.0,-1454.0,-1318.0,4.7499071939124,4.398351735870043,-443.0,-332.5,-344.0,-334.5,-362.0,-341.0,-271.0,-344.0
-2805.0,-1608.5,-1196.5,4.837397340271208,4.281066404448615,-451.5,-343.0,-363.5,-450.5,-427.0,-279.5,-197.5,-292.5
-2628.0,-1310.0,-1318.0,4.731741078032387,4.1889411674605475,-341.0,-261.0,-298.5,-409.5,-518.0,-335.5,-180.0,-284.5
-2730.0,-1450.5,-1279.5,4.806801254219479,4.131395928396119,-436.5,-266.5,-335.0,-412.5,-283.0,-388.0,-287.5,-321.0
-2930.0,-1464.0,-1466.0,4.735859134462145,4.142996775441699,-434.5,-284.5,-283.0,-462.0,-408.0,-399.0,-343.0,-316.0
-2760.5,-1503.5,-1257.0,4.779685305555661,4.324040932787789,-516.5,-284.5,-385.0,-317.5,-359.5,-345.5,-263.5,-288.5
-2635.0,-1363.5,-1271.5,4.813894940747155,4.41486280394925,-491.5,-205.0,-362.0,-305.0,-344.0,-335.0,-268.0,-324.5
-2725.5,-1434.0,-1291.5,5.556015642484029,4.866304065783819,-426.5,-300.5,-400.5,-306.5,-369.0,-388.0,-247.0,-287.5
-2747.0,-1418.5,-1328.5,5.518516500790914,4.925490607155694,-472.0,-257.0,-343.0,-346.5,-382.5,-405.5,-243.5,-297.0
-2770.5,-1396.0,-1374.5,5.4730195860068,4.879370542367299,-413.5,-255.5,-449.5,-277.5,-432.0,-316.0,-273.5,-353.0
-2835.0,-1315.5,-1519.5,5.114571550488472,4.93548521399498,-440.5,-261.5,-267.0,-346.5,-429.5,-353.0,-290.0,-447.0
